,company_name,company_rating,other_data
139,Serosoft Solutions,3.2,"IT Services & Consulting , 201-500 Employees , 16 years old , Indore"
140,ICS Instrumentation & Control Solution,4.0,"Industrial Automation , 51-200 Employees , Indore +10 more"
141,Abacus Consultancy Services,4.2,"IT Services & Consulting , 51-200 Employees , 22 years old , Indore +3 more"
142,Aakash Global Foods,4.3,"FMCG , 51-200 Employees , 92 years old , Indore +13 more"
143,Batchmaster Software,3.9,"Software Product , 201-500 Employees , 41 years old , Indore +2 more"
144,ClearTrail Technologies,3.8,"Emerging Technologies , 201-500 Employees , 23 years old , Indore +4 more"
145,Delhivery,4.0,"Logistics , 10k-50k Employees , Fortune India 500 , 13 years old , Indore +632 more"
146,L&T Construction,4.1,"Engineering & Construction , 5k-10k Employees , Public , 80 years old , Indore +360 more"
147,RSPL Group,4.2,"FMCG , 10k-50k Employees , 36 years old , Indore +207 more"
148,BigBasket,4.0,"Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Indore +116 more"
149,Webgility,3.8,"IT Services & Consulting , 51-200 Employees , 17 years old , Indore"
150,Vacmet India,4.4,"Packaging , 501-1k Employees , Public , 31 years old , Indore +12 more"
151,Ralson India,3.8,"Auto Components , 501-1k Employees , Public , 50 years old , Indore +40 more"
152,WebKorps Solutions,3.7,"IT Services & Consulting , 51-200 Employees , 8 years old , Indore +1 more"
153,Equitas Small Finance Bank,4.4,"Banking , 10k-50k Employees , Fortune India 500 , 17 years old , Indore +368 more"
154,Potomac Technologies,3.9,"Financial Services , 51-200 Employees , Indore +1 more"
155,Controlf5,4.6,"IT Services & Consulting , 11-50 Employees , 12 years old , Indore"
156,National Steel & Agro Industries,3.7,"Iron & Steel , 201-500 Employees , 39 years old , Indore +12 more"
157,Quest Global Technologies,3.9,"IT Services & Consulting , 51-200 Employees , 11 years old , Indore +11 more"
158,Bharti Infratel,4.3,"Telecom , 1k-5k Employees , Public , 18 years old , Indore +67 more"
159,Shj International,4.1,"IT Services & Consulting , 51-200 Employees , Indore +3 more"
160,Epic Research,3.5,"Financial Services , 51-200 Employees , 13 years old , Indore +1 more"
161,Shj International,4.1,"IT Services & Consulting , 51-200 Employees , Indore +3 more"
162,SpeedLabs,3.5,"EdTech , 201-500 Employees , Startup , 9 years old , Indore +16 more"
163,Aavas Financiers,4.0,"Financial Services , 5k-10k Employees , Public , 13 years old , Indore +235 more"
164,Havells,4.1,"Electrical Equipment , 5k-10k Employees , Public , 41 years old , Indore +185 more"
165,Sri Aurobindo Institute of Medical Sciences,3.9,"501-1k Employees , 21 years old , Indore +1 more"
166,TVS Credit,4.5,"NBFC , 10k-50k Employees , Public , 16 years old , Indore +312 more"
167,Sanghi Brothers,3.5,"Auto Components , 501-1k Employees , 74 years old , Indore +7 more"
168,Bombay Hospital,4.2,"Healthcare , 501-1k Employees , 72 years old , Indore +5 more"
169,Piramal Capital Housing Finance,4.3,"NBFC , 1k-5k Employees , 4 years old , Indore +332 more"
170,Mosphe,3.9,Indore
171,HDFC Sales,4.1,"Financial Services , 10k-50k Employees , 20 years old , Indore +280 more"
172,Liugong India,3.4,"Engineering & Construction , 201-500 Employees , 66 years old , Indore +16 more"
173,1point1 Solutions,3.4,"BPO , 5k-10k Employees , Public , 16 years old , Indore +14 more"
174,Walkover Web Solutions,2.7,"IT Services & Consulting , 11-50 Employees , 17 years old , Indore +1 more"
175,makin Laboratories,3.2,"Fitness & Wellness , 51-200 Employees , Indore +3 more"
176,Adroit Industries India,3.4,"Industrial Machinery , 11-50 Employees , 58 years old , Indore +3 more"
177,Dabur,3.8,"FMCG , 5k-10k Employees , Public , 140 years old , Indore +250 more"
178,Bajaj Allianz Life Insurance,4.1,"Insurance , 10k-50k Employees , 23 years old , Indore +504 more"
179,Stanza Living,3.1,"Internet , 501-1k Employees , Startup , 7 years old , Indore +30 more"
180,Poonawalla Fincorp,3.9,"NBFC , 1k-5k Employees , Public , 36 years old , Indore +246 more"
181,Mphasis,3.5,"IT Services & Consulting , 10k-50k Employees , Public , 26 years old , Indore +54 more"
182,Manappuram Finance,4.0,"NBFC , 10k-50k Employees , Public , 75 years old , Indore +513 more"
183,Piramal Group,4.0,"Financial Services , 10k-50k Employees , Fortune India 500 , 44 years old , Indore +122 more"
184,Immersive Infotech,4.6,"IT Services & Consulting , 51-200 Employees , 13 years old , Indore +1 more"
185,Ujjivan Small Finance Bank,4.1,"Banking , 10k-50k Employees , Public , 7 years old , Indore +447 more"
186,Indiabulls Home Loans,3.9,"NBFC , 5k-10k Employees , Public , 19 years old , Indore +190 more"
187,Pidilite Industries,4.4,"Chemicals , 5k-10k Employees , Public , 65 years old , Indore +242 more"
188,Walmart,4.0,"Retail , 5k-10k Employees , Forbes Global 2000 , 15 years old , Indore +78 more"
189,DTDC Express,3.8,"Logistics , 1k-5k Employees , 34 years old , Indore +229 more"
190,Softstandard Solutions,4.3,"IT Services & Consulting , 201-500 Employees , 11 years old , Indore +3 more"
191,WNS,3.5,"BPO , 10k-50k Employees , 28 years old , Indore +38 more"
192,Cholamandalam Investment & Finance,4.1,"NBFC , 10k-50k Employees , Fortune India 500 , 46 years old , Indore +645 more"
193,Quess,4.0,"BPO , 1k-5k Employees , Public , 17 years old , Indore +542 more"
194,D&H Sécheron Electrodes,4.0,"Industrial Machinery , 201-500 Employees , 58 years old , Indore +16 more"
195,SBI Cards & Payment Services,3.8,"Financial Services , 1k-5k Employees , 26 years old , Indore +349 more"
196,Bakersville,4.4,"51-200 Employees , 13 years old , Indore +4 more"
197,Chl Hospital,4.0,"1k-5k Employees , Indore +2 more"
198,Choithram Hospital & Research Centre,4.2,"Healthcare , 1k-5k Employees , 45 years old , Indore +4 more"
199,Radisson Hotels,4.1,"Hospitality , 5k-10k Employees , 115 years old , Indore +103 more"
200,Chl Hospital,4.0,"1k-5k Employees , Indore +2 more"
201,Tata Motors,4.2,"Automobile , 10k-50k Employees , Public , 79 years old , Indore +433 more"
202,CapitalAim Financial Advisor,2.3,"Investment Banking / Venture Capital / Private Equity , 51-200 Employees , 13 years old , Indore"
203,Eureka Forbes,3.9,"Consumer Electronics & Appliances , 1k-5k Employees , 42 years old , Indore +159 more"
204,Indian Steel Corporation,4.2,"Iron & Steel , 1k-5k Employees , Public , 20 years old , Indore +10 more"
205,PolicyX.com,3.5,"FinTech , 51-200 Employees , Startup , 11 years old , Indore +4 more"
206,Hindustan Equipments,3.9,"Industrial Machinery , 51-200 Employees , 26 years old , Indore"
207,USHA International,4.2,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 90 years old , Indore +111 more"
208,Indiamart Intermesh,3.6,"Internet , 5k-10k Employees , 28 years old , Indore +145 more"
209,EMINENT BIOSCIENCES,4.9,"Biotechnology , 11-50 Employees , Indore +1 more"
210,AVTEC,3.8,"Auto Components , 1k-5k Employees , Conglomerate , 19 years old , Indore +20 more"
211,Hettich,3.8,"Furniture & Furnishing , 1k-5k Employees , 136 years old , Indore +31 more"
212,URC Construction,3.6,"Engineering & Construction , 1k-5k Employees , 68 years old , Indore +32 more"
213,Rivigo,3.9,"Internet , 1k-5k Employees , Indian Unicorn , 10 years old , Indore +151 more"
214,BestPeers Infosystem,4.0,"IT Services & Consulting , 51-200 Employees , 7 years old , Indore"
215,Cummins,4.4,"Industrial Machinery , 1k-5k Employees , Fortune India 500 , 105 years old , Indore +86 more"
216,Arihant Capital Markets,3.4,"Financial Services , 201-500 Employees , Public , 32 years old , Indore +13 more"
217,Inwizards Software Technology,3.9,"IT Services & Consulting , 51-200 Employees , 11 years old , Indore"
218,Metro Cash & Carry,4.3,"Retail , 1k-5k Employees , Forbes Global 2000 , 21 years old , Indore +77 more"
219,Fincare Small Finance Bank,4.1,"Banking , 10k-50k Employees , 17 years old , Indore +363 more"
220,Sun Pharmaceutical Industries,4.1,"Pharma , 10k-50k Employees , Public , 41 years old , Indore +207 more"
221,Ways2Capital,3.8,"Financial Services , 51-200 Employees , 14 years old , Indore +1 more"
222,Human Matrix Securite,4.6,Indore +3 more
223,Parle Agro,3.1,"Beverage , 5k-10k Employees , 40 years old , Indore +195 more"
224,Inox Leisure,4.1,"Media & Entertainment , 1k-5k Employees , Public , 25 years old , Indore +86 more"
225,VISTRA INTERNATIONAL EXPANSION,3.7,"Other , 501-1k Employees , 32 years old , Indore +3 more"
