,company_name,company_rating,other_data
181,Care Health Insurance,3.8,"Internet , 5k-10k Employees , Public , 12 years old , Noida +197 more"
182,FarEye,3.0,"IT Services & Consulting , 501-1k Employees , Startup , 11 years old , Noida +3 more"
183,TechnipFMC,4.0,"Industrial Machinery , 1k-5k Employees , 7 years old , Noida +38 more"
184,Thomson Digital,4.0,"Printing & Publishing , 201-500 Employees , 62 years old , Noida +7 more"
185,Supertech,3.9,"Real Estate , 1k-5k Employees , 36 years old , Noida +18 more"
186,Magic Software,3.4,"IT Services & Consulting , 201-500 Employees , 34 years old , Noida +4 more"
187,FCI CCM,4.3,"IT Services & Consulting , 501-1k Employees , 65 years old , Noida +8 more"
188,Mas Callnet,3.8,"BPO , 51-200 Employees , 34 years old , Noida +12 more"
189,RNF Technologies,4.0,"IT Services & Consulting , 201-500 Employees , 15 years old , Noida +4 more"
190,RMSI,3.8,"IT Services & Consulting , 1k-5k Employees , 32 years old , Noida +13 more"
191,JK Tech,3.8,"IT Services & Consulting , 501-1k Employees , Public , 30 years old , Noida +17 more"
192,NSB Bpo Solutions,2.9,"BPO , 1k-5k Employees , 31 years old , Noida +75 more"
193,Conneqt Business Solutions,3.7,"BPO , 10k-50k Employees , 22 years old , Noida +224 more"
194,BUSINESSNEXT,3.4,"IT Services & Consulting , 1k-5k Employees , 23 years old , Noida +8 more"
195,Kyndryl,4.1,"IT Services & Consulting , 10k-50k Employees , Public , 2 years old , Noida +26 more"
196,Evision Technoserve,4.7,"Recruitment , 51-200 Employees , 12 years old , Noida +63 more"
197,SNVA Ventures,3.5,"IT Services & Consulting , 201-500 Employees , 15 years old , Noida +3 more"
198,Rockwell Automation,4.1,"Industrial Automation , 1k-5k Employees , Forbes Global 2000 , 121 years old , Noida +19 more"
199,Planetcast,3.8,"Media & Entertainment , 1k-5k Employees , Public , 28 years old , Noida +11 more"
200,AgreeYa Solutions,3.4,"Software Product , 501-1k Employees , 25 years old , Noida +8 more"
201,DataTrained,4.2,"EdTech , 501-1k Employees , Startup , 12 years old , Noida +3 more"
202,iSON Xperiences,3.6,"BPO , 5k-10k Employees , 13 years old , Noida +36 more"
203,Jasper Colin,4.1,"Analytics & KPO , 201-500 Employees , 16 years old , Noida +7 more"
204,Jubilant Pharmova,4.0,"Pharma , 1k-5k Employees , Public , 46 years old , Noida +52 more"
205,Classplus,3.4,"Software Product , 501-1k Employees , Startup , 9 years old , Noida +16 more"
206,BOLD Technology Systems,3.4,"Internet , 501-1k Employees , 20 years old , Noida +5 more"
207,Mahagun India,3.4,"Real Estate , 501-1k Employees , Conglomerate , 29 years old , Noida +6 more"
208,Thales,3.8,"IT Services & Consulting , 1k-5k Employees , Forbes Global 2000 , 24 years old , Noida +15 more"
209,RapiPay,4.0,"FinTech , 1k-5k Employees , Startup , 6 years old , Noida +97 more"
210,Amity Software Systems,4.3,"Software Product , 201-500 Employees , Public , Noida +7 more"
211,HCL Comnet,4.0,Noida +34 more
212,Adroit Synergies,3.2,"BPO , 501-1k Employees , 9 years old , Noida +3 more"
213,Path Infotech,4.0,"IT Services & Consulting , 201-500 Employees , 33 years old , Noida +6 more"
214,Jaypee Hospital,4.1,"Healthcare , 501-1k Employees , 10 years old , Noida +9 more"
215,SCA Health India,4.8,"BPO , 201-500 Employees , Forbes Global 2000 , 11 years old , Noida +9 more"
216,The Smart Cube,3.6,"Management Consulting , 501-1k Employees , 21 years old , Noida +7 more"
217,MPS Limited,4.0,"Content Development , 1k-5k Employees , Public , 54 years old , Noida +21 more"
218,Dharampal Premchand,4.3,"FMCG , 201-500 Employees , 95 years old , Noida +49 more"
219,Samsung Engineering,4.2,"Engineering & Construction , 1k-5k Employees , 18 years old , Noida +46 more"
220,Technip Energies,4.1,"Engineering & Construction , 1k-5k Employees , 66 years old , Noida +28 more"
221,Uneecops Technologies,4.1,"IT Services & Consulting , 501-1k Employees , 29 years old , Noida +16 more"
222,Centre for Development of Advanced Computing,3.9,"IT Services & Consulting , 1k-5k Employees , 36 years old , Noida +28 more"
223,Evelyn Learning Systems,3.8,"EdTech , 1k-5k Employees , Startup , 11 years old , Noida +9 more"
224,JLL,4.2,"Real Estate , 10k-50k Employees , Forbes Global 2000 , 25 years old , Noida +70 more"
225,Sopra Banking Software,3.7,"IT Services & Consulting , 1k-5k Employees , Public , 12 years old , Noida +4 more"
226,FinThrive,3.9,"Software Product , 501-1k Employees , 21 years old , Noida +8 more"
227,KHY ELECTRONIC,3.7,"11-50 Employees , Noida +7 more"
228,BigBasket,4.0,"Internet , 10k-50k Employees , Indian Unicorn , 13 years old , Noida +116 more"
