,company_name,company_rating,other_data
8752,Style Tag,4.6,"Internet , 11-50 Employees (Global) , 13 years old , Ahmedabad +1 more"
8753,IndiaCan,4.6,"EdTech , 201-500 Employees , 16 years old , Ahmedabad +38 more"
8754,Charak Pharmaceuticals India,3.1,"Healthcare , 1k-5k Employees (Global) , 77 years old , Ahmedabad +8 more"
8755,Chatterjee Cleaning Arts Services,3.3,"1k-5k Employees , Ahmedabad +8 more"
8756,Golden Life Management,4.0,"201-500 Employees (Global) , Ahmedabad"
8757,Albertsons International,3.1,"IT Services & Consulting , 201-500 Employees , 18 years old , Ahmedabad +12 more"
8758,Tolexo,4.6,"Internet , 201-500 Employees , Ahmedabad +4 more"
8759,Amsure Insurance Agency,5.0,"201-500 Employees (Global) , Ahmedabad +9 more"
8760,Forus Health,4.5,"Internet , 51-200 Employees , 14 years old , Ahmedabad +5 more"
8761,Consul Consolidated,4.9,"201-500 Employees (Global) , 43 years old , Ahmedabad +4 more"
8762,Networth Stock Broking,4.8,"501-1k Employees (Global) , Ahmedabad +5 more"
8763,Net4Nuts,5.0,"11-50 Employees , Ahmedabad"
8764,TUI India,4.2,"Travel & Tourism , 501-1k Employees , Forbes Global 2000 , 19 years old , Ahmedabad +8 more"
8765,iCubix Infotech,4.0,"IT Services & Consulting , 11-50 Employees (Global) , Ahmedabad"
8766,DGVCL,4.4,"Power , 51-200 Employees (Global) , State , Ahmedabad +11 more"
8767,Aequitas Infotech,3.0,"11-50 Employees (Global) , Ahmedabad"
8768,Prakash Steelage,4.0,"Building Material , 51-200 Employees , Public , Ahmedabad +3 more"
8769,Xplora Design Skool,3.2,"11-50 Employees , 25 years old , Ahmedabad +1 more"
8770,Regent Granito,3.5,"Retail , Ahmedabad +1 more"
8771,Powertech Global,3.7,"Power , 51-200 Employees , Ahmedabad +5 more"
8772,Hindustan Fluorocarbons,4.4,"11-50 Employees , Public , 41 years old , Ahmedabad +3 more"
8773,Infinitely Infinite Solutions,2.8,"11-50 Employees (Global) , Ahmedabad +3 more"
8774,Citizen Metalloys,2.8,"51-200 Employees , Ahmedabad +1 more"
8775,L&T General Insurance Company,5.0,"Insurance , 201-500 Employees (Global) , 14 years old , Ahmedabad +4 more"
8776,Swastik Traders,5.0,"11-50 Employees , Ahmedabad +1 more"
8777,Vishv Enterprise,2.0,"1k-5k Employees (Global) , Ahmedabad +3 more"
8778,Singapore International School,3.1,"Education & Training , 201-500 Employees , 17 years old , Ahmedabad +3 more"
8779,Snowcem Paints,4.4,"Building Material , 201-500 Employees , 65 years old , Ahmedabad +27 more"
8780,Optart Electronics,5.0,"11-50 Employees (Global) , Ahmedabad"
8781,Datum Recruitment Services,4.0,"11-50 Employees (Global) , Ahmedabad"
8782,Jukaso Journeys,2.7,"Financial Services , Ahmedabad +3 more"
8783,4Life iNNOVATIONS,5.0,"IT Services & Consulting , 8 years old , Ahmedabad"
8784,SSA,4.3,"IT Services & Consulting , 11-50 Employees , 43 years old , Ahmedabad +22 more"
8785,Canny Informatics,5.0,"9 years old , Ahmedabad"
8786,Flockstation,4.0,"Internet , Startup , 9 years old , Ahmedabad"
8787,Essel Infraprojects,4.2,"Engineering & Construction , 1k-5k Employees , 37 years old , Ahmedabad +19 more"
8788,TechCompose Solutions,5.0,"IT Services & Consulting , 11 years old , Ahmedabad"
8789,On Time Solutions,3.7,"11-50 Employees , Ahmedabad +7 more"
8790,J. Sagar Associates,3.7,"Legal , 201-500 Employees , Ahmedabad +4 more"
8791,Distinctive Technologies,2.0,"Telecom , 11-50 Employees , 10 years old , Ahmedabad +8 more"
8792,CR2 Technologies,2.0,"IT Services & Consulting , 11-50 Employees (Global) , Public , 17 years old , Ahmedabad"
8793,The Veritas Career Solutions,1.0,Ahmedabad
8794,KP,5.0,"Retail , Ahmedabad +4 more"
8795,APPL,3.5,Ahmedabad +10 more
8796,Shubh Solutions,5.0,"IT Services & Consulting , Ahmedabad +2 more"
8797,Johnson Johnson and Johnson Consulting,5.0,Ahmedabad
8798,Compact Solutions,1.0,"IT Services & Consulting , 11-50 Employees , Ahmedabad"
8799,SVP,4.3,"11-50 Employees (Global) , Ahmedabad +4 more"
8800,Elements,4.2,"IT Services & Consulting , 11-50 Employees (Global) , Ahmedabad +6 more"
8801,Kiran Analytics,5.0,Ahmedabad
8802,Versatile Systems,5.0,Ahmedabad
8803,Balluff,3.7,Ahmedabad +4 more
8804,Suntech,3.3,"Financial Services , Ahmedabad +5 more"
8805,Reliance Big Entertainment,4.0,"Media & Entertainment , 201-500 Employees , 19 years old , Ahmedabad +6 more"
8806,Beckhoff Automation,4.6,"51-200 Employees , Ahmedabad +3 more"
8807,Beacon Industries,2.5,"Financial Services , Ahmedabad"
8808,IHM,4.2,"Financial Services , 1-10 Employees , Ahmedabad +4 more"
8809,SAJ Test Plant,3.2,"Electronics Manufacturing , 51-200 Employees , 55 years old , Ahmedabad +1 more"
