,company_name,company_rating,other_data
6844,Kala Nidhi Exports,5.0,Jaipur
6845,Delta Securitas,5.0,Jaipur
6846,DEVS TRENDS,5.0,Jaipur
6847,3AG BUSINESS AND TECHNOLOGY Solutions,4.5,Jaipur +1 more
6848,Advait Vedanta Institute of Technology,4.2,"Education & Training , Jaipur"
6849,Sheetal Furnishing,5.0,"Furniture & Furnishing , Jaipur"
6850,Shivam Motor Garage,5.0,Jaipur
6851,SHPL Infra,2.5,Jaipur +3 more
6852,Star Mobileoid2 Technologies,4.9,Jaipur +1 more
6853,blue Heaven Vidyalaya,4.0,Jaipur
6854,Ananyaa Enterprises,4.0,Jaipur +2 more
6855,NEELKANTH ENTERPRISES,4.9,Jaipur +5 more
6856,Ankit Roofing,4.0,Jaipur
6857,Brain Academy,5.0,"Education & Training , Jaipur"
6858,EX - Serviceman Security Services,4.0,"Law Enforcement & Security , Jaipur +12 more"
6859,KNB ENTERPRISES,5.0,Jaipur
6860,RIDS Tech,5.0,Jaipur
6861,Om Infrastructure,3.1,"Real Estate , Jaipur +5 more"
6862,Balarka Business Solutions,5.0,Jaipur
6863,"NARAIN JEWELLERS , JAIPUR",1.0,Jaipur
6864,Census of India,4.1,Jaipur +5 more
6865,Fit7 - Health Club & Studio By MS Dhoni,4.5,Jaipur +4 more
6866,Premier Printing Press,5.0,Jaipur
6867,Siddhi Vinayak Infratownship,5.0,Jaipur
6868,AUNICO INDIA,4.0,Jaipur
6869,S K Batwara & Co,4.0,Jaipur
6870,Advance Life Insurance Brokers,3.6,Jaipur +1 more
6871,TEJASE MOBIWORLD INDIA,5.0,Jaipur
6872,Navratan Sharma,5.0,Jaipur
6873,Rajasthan cab,5.0,Jaipur
6874,Trishul Defence Academy,4.7,"Education & Training , Jaipur +2 more"
6875,Dhanuka Group,3.3,"Real Estate , 11-50 Employees , Jaipur +2 more"
6876,CLIFF Security Services,5.0,Jaipur +2 more
6877,Shubhavi Business Solutions,1.0,Jaipur
6878,Atrium Technology Solutions,4.9,Jaipur +1 more
6879,FITPACK TEXTILE MILLS,2.5,Jaipur
6880,Laxmi Palace,3.0,"11-50 Employees , Jaipur"
6881,DB Digital,3.9,"Internet , 51-200 Employees , Startup , 4 years old , Jaipur +6 more"
6882,Omniplast,4.8,"11-50 Employees , Jaipur +1 more"
6883,Vibrant Academy,4.0,"Education & Training , 51-200 Employees , 15 years old , Jaipur +5 more"
6884,Gupta Fabtex,5.0,Jaipur
6885,Fair Pharma,3.9,"11-50 Employees , Jaipur +1 more"
6886,Shree Shyam Packaging,4.4,Jaipur +1 more
6887,Skynet Worldwide Express,4.6,"Logistics , 1k-5k Employees (Global) , 52 years old , Jaipur +10 more"
6888,Lotto,5.0,Jaipur +2 more
6889,Narayan Niwas Palace,5.0,"11-50 Employees , Jaipur"
6890,Supersonic Turners,5.0,Jaipur
6891,Food & Pharma Specialities,3.2,"51-200 Employees , Jaipur +2 more"
6892,Springfit Marketing Inc.,4.3,Jaipur +2 more
6893,ADI Automotives,4.3,"11-50 Employees , Jaipur +1 more"
6894,CADD CENTRE SOFTWARE SOLUTIONS,4.1,"Design , 51-200 Employees (Global) , 36 years old , Jaipur +17 more"
6895,Newtech Medical Devices,3.3,"Medical Equipment , 51-200 Employees , 17 years old , Jaipur +5 more"
6896,UNIVERSAL ELECTRICALS,5.0,"Retail , Jaipur +2 more"
6897,Bitla Software,4.3,"IT Services & Consulting , 201-500 Employees , 17 years old , Jaipur +9 more"
6898,Financial Information Network & Operations,3.7,"Financial Services , 5k-10k Employees , Jaipur +11 more"
